2026-07-22 06:52:13 [INFO] System Tray initialized. Application is running in the background.
2026-07-22 06:52:14 [INFO] All sub-systems initialised.
2026-07-22 06:52:14 [INFO] [state_change] from_state=IDLE | to_state=SCANNING
2026-07-22 06:52:14 [INFO] WorkflowEngine started — user='phan'  table={'left': 53, 'top': 601, 'width': 1484, 'height': 290}
2026-07-22 06:52:20 [INFO] Automation DISABLED (F8)
2026-07-22 06:56:47 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:56:47 [INFO] [loop_tick] state=SCANNING | rows=6 | claims=0
2026-07-22 06:56:47 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:56:47 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:56:47 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:56:48 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:56:48 [INFO] [loop_tick] state=SCANNING | rows=6 | claims=0
2026-07-22 06:56:48 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:56:48 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:56:48 [INFO] [loop_tick] state=SCANNING | rows=6 | claims=0
2026-07-22 06:56:48 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:56:48 [INFO] [loop_tick] state=SCANNING | rows=6 | claims=0
2026-07-22 06:56:49 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:56:49 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:56:49 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:56:49 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:56:49 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:56:49 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:56:49 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:56:50 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:50 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:56:50 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:56:50 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:56:50 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:50 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:51 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:51 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:51 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:51 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:51 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:51 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:52 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:52 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:52 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:52 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:52 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:53 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:53 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:53 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:56:53 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:56:53 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:56:53 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:56:53 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:56:53 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:56:54 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:54 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:54 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:54 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:54 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:55 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:55 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:55 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:55 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:55 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:56 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:56 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:56 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:56 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:56 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:57 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:57 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:57 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:58 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:58 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:58 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:58 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:58 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:59 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:59 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:59 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:59 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:56:59 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:56:59 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:00 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:00 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:00 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:00 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:01 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:01 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:01 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:57:01 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:01 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:01 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:57:02 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:57:02 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:57:02 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:57:02 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:57:02 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:57:02 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:57:03 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:03 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:57:03 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:03 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:57:03 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:57:04 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:57:04 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:57:04 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:57:04 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:57:04 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:57:05 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:05 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:05 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:57:05 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
